accuracy,f1_score,brier_score,C,repeat,fold
0.8,0.7959183673469388,0.2,0.1,0,0
0.79,0.7920792079207921,0.21,0.1,0,1
0.8,0.7916666666666666,0.2,0.1,0,2
0.82,0.775,0.18,0.1,0,3
0.81,0.8,0.19,0.1,0,4
0.78,0.7659574468085106,0.22,1.0,0,5
0.81,0.8256880733944955,0.19,0.1,0,6
0.82,0.847457627118644,0.18,10.0,0,7
0.76,0.7818181818181819,0.24,0.1,0,8
0.8,0.7727272727272727,0.2,0.1,0,9
0.9,0.9038461538461539,0.1,1.0,1,0
0.8,0.8113207547169812,0.2,0.1,1,1
0.82,0.8163265306122449,0.18,1.0,1,2
0.8,0.7619047619047619,0.2,0.1,1,3
0.79,0.7741935483870968,0.21,0.1,1,4
0.8,0.8,0.2,10.0,1,5
0.75,0.7706422018348624,0.25,0.1,1,6
0.83,0.8468468468468469,0.17,0.1,1,7
0.8,0.8113207547169812,0.2,0.1,1,8
0.79,0.7469879518072289,0.21,0.1,1,9
0.84,0.8367346938775511,0.16,0.1,2,0
0.78,0.7843137254901961,0.22,0.1,2,1
0.81,0.7956989247311828,0.19,0.1,2,2
0.78,0.7380952380952381,0.22,0.1,2,3
0.83,0.8316831683168316,0.17,0.1,2,4
0.85,0.8387096774193549,0.15,10.0,2,5
0.85,0.8648648648648649,0.15,0.1,2,6
0.79,0.8141592920353983,0.21,1.0,2,7
0.76,0.7692307692307693,0.24,0.1,2,8
0.78,0.7659574468085106,0.22,1.0,2,9
0.87,0.8686868686868687,0.13,0.1,3,0
0.88,0.8846153846153846,0.12,1.0,3,1
0.79,0.7741935483870968,0.21,0.1,3,2
0.81,0.8,0.19,0.1,3,3
0.82,0.8043478260869565,0.18,0.1,3,4
0.79,0.7692307692307693,0.21,0.1,3,5
0.77,0.7889908256880734,0.23,1.0,3,6
0.75,0.8,0.25,10.0,3,7
0.82,0.8301886792452831,0.18,1.0,3,8
0.85,0.8235294117647058,0.15,0.1,3,9
0.75,0.7619047619047619,0.25,0.1,4,0
0.78,0.7884615384615384,0.22,0.1,4,1
0.76,0.7333333333333333,0.24,0.1,4,2
0.84,0.8222222222222222,0.16,1.0,4,3
0.75,0.7368421052631579,0.25,10.0,4,4
0.85,0.8484848484848485,0.15,1.0,4,5
0.84,0.84,0.16,1.0,4,6
0.79,0.8173913043478261,0.21,0.1,4,7
0.74,0.7547169811320755,0.26,1.0,4,8
0.79,0.7741935483870968,0.21,0.1,4,9
0.79,0.7789473684210526,0.21,10.0,5,0
0.79,0.8073394495412844,0.21,0.1,5,1
0.78,0.7659574468085106,0.22,0.1,5,2
0.76,0.7073170731707317,0.24,0.1,5,3
0.81,0.8041237113402062,0.19,10.0,5,4
0.78,0.7659574468085106,0.22,0.1,5,5
0.87,0.8807339449541285,0.13,0.1,5,6
0.79,0.8073394495412844,0.21,0.1,5,7
0.78,0.8035714285714286,0.22,0.1,5,8
0.81,0.7764705882352941,0.19,1.0,5,9
0.77,0.7526881720430108,0.23,10.0,6,0
0.71,0.7387387387387387,0.29,0.1,6,1
0.73,0.6896551724137931,0.27,0.1,6,2
0.8,0.7777777777777778,0.2,1.0,6,3
0.81,0.8,0.19,0.1,6,4
0.75,0.7311827956989247,0.25,0.1,6,5
0.83,0.8411214953271028,0.17,0.1,6,6
0.74,0.7636363636363637,0.26,0.1,6,7
0.8,0.8181818181818182,0.2,0.1,6,8
0.83,0.8089887640449438,0.17,0.1,6,9
0.75,0.7368421052631579,0.25,0.1,7,0
0.86,0.8679245283018868,0.14,0.1,7,1
0.84,0.8260869565217391,0.16,0.1,7,2
0.86,0.8372093023255814,0.14,0.1,7,3
0.8,0.7959183673469388,0.2,0.1,7,4
0.83,0.8247422680412371,0.17,0.1,7,5
0.77,0.7766990291262136,0.23,0.1,7,6
0.75,0.7933884297520661,0.25,1.0,7,7
0.81,0.8118811881188119,0.19,0.1,7,8
0.82,0.8085106382978723,0.18,0.1,7,9
0.73,0.7272727272727273,0.27,0.1,8,0
0.82,0.8269230769230769,0.18,0.1,8,1
0.79,0.7741935483870968,0.21,0.1,8,2
0.84,0.8222222222222222,0.16,10.0,8,3
0.91,0.9072164948453608,0.09,0.1,8,4
0.87,0.8602150537634409,0.13,1.0,8,5
0.83,0.8411214953271028,0.17,1.0,8,6
0.79,0.8073394495412844,0.21,0.1,8,7
0.86,0.8727272727272727,0.14,0.1,8,8
0.85,0.8314606741573034,0.15,1.0,8,9
0.77,0.780952380952381,0.23,0.1,9,0
0.76,0.7777777777777778,0.24,0.1,9,1
0.83,0.8172043010752689,0.17,0.1,9,2
0.81,0.7764705882352941,0.19,10.0,9,3
0.82,0.7906976744186046,0.18,1.0,9,4
0.79,0.7789473684210526,0.21,10.0,9,5
0.82,0.8333333333333334,0.18,0.1,9,6
0.7,0.7169811320754716,0.3,0.1,9,7
0.81,0.8347826086956521,0.19,0.1,9,8
0.78,0.7659574468085106,0.22,0.1,9,9
